Entity,Code,Year,Fossil fuels (% equivalent primary energy)
Croatia,HRV,2011,84.48951
Croatia,HRV,2012,83.10477
Croatia,HRV,2013,73.243805
Croatia,HRV,2014,71.52406
Croatia,HRV,2015,77.328064
Croatia,HRV,2016,76.11866
Croatia,HRV,2017,79.71972
Croatia,HRV,2018,72.94389
Croatia,HRV,2019,75.777565
Croatia,HRV,2020,73.99522
Czechia,CZE,2000,90.27807
Czechia,CZE,2001,89.73611
Czechia,CZE,2002,87.24154
Czechia,CZE,2003,84.78433
Czechia,CZE,2004,84.60133
Czechia,CZE,2005,85.14584
Czechia,CZE,2006,84.57718
Czechia,CZE,2007,84.47356
Czechia,CZE,2008,83.66316
Czechia,CZE,2009,81.956085
Czechia,CZE,2010,81.59334
Czechia,CZE,2011,80.17543
Czechia,CZE,2012,78.652664
Czechia,CZE,2013,77.37938
Czechia,CZE,2014,77.15814
Czechia,CZE,2015,78.63172
Czechia,CZE,2016,79.96526
Czechia,CZE,2017,78.74763
Czechia,CZE,2018,78.10548
Czechia,CZE,2019,77.04799
Czechia,CZE,2020,75.13959
Denmark,DNK,2000,92.90433
Denmark,DNK,2001,92.59749
Denmark,DNK,2002,91.41305
Denmark,DNK,2003,90.53721
Denmark,DNK,2004,88.27088
Denmark,DNK,2005,87.52569
Denmark,DNK,2006,89.31529
Denmark,DNK,2007,87.53355
Denmark,DNK,2008,87.37908
Denmark,DNK,2009,86.621086
Denmark,DNK,2010,84.43214
Denmark,DNK,2011,80.75936
Denmark,DNK,2012,77.996895
Denmark,DNK,2013,77.314445
Denmark,DNK,2014,73.76201
Denmark,DNK,2015,71.99863
Denmark,DNK,2016,73.057755
Denmark,DNK,2017,68.49629
Denmark,DNK,2018,69.650665
Denmark,DNK,2019,65.898506
Denmark,DNK,2020,61.531616
Estonia,EST,2000,99.65699
Estonia,EST,2001,99.84101
Estonia,EST,2002,99.81492
Estonia,EST,2003,99.78062
Estonia,EST,2004,99.710785
Estonia,EST,2005,99.498955
Estonia,EST,2006,99.38846
Estonia,EST,2007,99.403015
Estonia,EST,2008,99.08488
Estonia,EST,2009,97.17947
Estonia,EST,2010,95.48656
Estonia,EST,2011,94.99739
Estonia,EST,2012,93.81388
Estonia,EST,2013,95.12412
Estonia,EST,2014,94.17704
Estonia,EST,2015,93.100494
Estonia,EST,2016,93.26887
Estonia,EST,2017,92.86585
Estonia,EST,2018,91.96791
Estonia,EST,2019,89.313995
Estonia,EST,2020,84.21546
Finland,FIN,2000,62.421852
Finland,FIN,2001,64.674034
Finland,FIN,2002,66.70176
Finland,FIN,2003,69.27657
Finland,FIN,2004,64.40695
Finland,FIN,2005,62.446804
Finland,FIN,2006,66.04336
Finland,FIN,2007,64.42119
Finland,FIN,2008,60.703133
Finland,FIN,2009,62.322998
Finland,FIN,2010,63.937336
Finland,FIN,2011,61.39235
Finland,FIN,2012,57.129963
Finland,FIN,2013,59.171856
Finland,FIN,2014,56.58437
Finland,FIN,2015,53.474342
Finland,FIN,2016,55.46419
Finland,FIN,2017,53.69929
Finland,FIN,2018,53.93058
Finland,FIN,2019,52.20833
Finland,FIN,2020,47.849934
France,FRA,2000,55.495728
France,FRA,2001,54.821514
France,FRA,2002,54.61327
France,FRA,2003,55.12286
France,FRA,2004,55.07094
France,FRA,2005,55.301933
France,FRA,2006,54.748108
France,FRA,2007,54.57699
France,FRA,2008,53.9621
France,FRA,2009,54.54323
France,FRA,2010,53.760303
France,FRA,2011,52.395145
France,FRA,2012,52.285988
France,FRA,2013,51.870926
France,FRA,2014,49.1882
France,FRA,2015,50.046658
France,FRA,2016,51.811104
France,FRA,2017,52.931873
France,FRA,2018,50.493443
France,FRA,2019,50.866802
France,FRA,2020,48.755356
Germany,DEU,2000,85.04574
Germany,DEU,2001,85.17234
Germany,DEU,2002,84.952446
Germany,DEU,2003,84.90417
Germany,DEU,2004,83.9626
Germany,DEU,2005,83.486244
Germany,DEU,2006,82.72518
Germany,DEU,2007,82.552216
Germany,DEU,2008,81.98621
Germany,DEU,2009,81.75207
Germany,DEU,2010,81.476616
Germany,DEU,2011,81.730225
Germany,DEU,2012,81.14386
Germany,DEU,2013,81.35945
Germany,DEU,2014,79.859634
Germany,DEU,2015,78.84805
Germany,DEU,2016,79.6746
Germany,DEU,2017,78.72211
Germany,DEU,2018,77.737144
Germany,DEU,2019,76.030685
Germany,DEU,2020,74.16474
Greece,GRC,2000,96.71527
Greece,GRC,2001,97.70396
Greece,GRC,2002,97.216805
Greece,GRC,2003,95.702354
Greece,GRC,2004,95.708145
Greece,GRC,2005,95.39942
Greece,GRC,2006,94.550125
Greece,GRC,2007,96.65538
Greece,GRC,2008,95.8661
Greece,GRC,2009,94.00399
Greece,GRC,2010,91.86839
Greece,GRC,2011,93.60132
Greece,GRC,2012,91.59838
Greece,GRC,2013,87.56382
Greece,GRC,2014,88.67975
Greece,GRC,2015,86.54033
Greece,GRC,2016,86.338036
Greece,GRC,2017,87.947105
Greece,GRC,2018,86.15973
Greece,GRC,2019,85.82765
Greece,GRC,2020,82.39846
Hong Kong,HKG,2008,99.9992
Hong Kong,HKG,2009,99.99901
Hong Kong,HKG,2010,99.94618
Hong Kong,HKG,2011,99.86229
Hong Kong,HKG,2012,99.93832
Hong Kong,HKG,2013,99.838806
Hong Kong,HKG,2014,99.84819
Hong Kong,HKG,2015,99.794014
Hong Kong,HKG,2016,99.7929
Hong Kong,HKG,2017,99.78939
Hong Kong,HKG,2018,99.75832
Hong Kong,HKG,2019,99.744514
Hong Kong,HKG,2020,99.56125
Hungary,HUN,2000,85.40974
Hungary,HUN,2001,85.886986
Hungary,HUN,2002,85.83749
Hungary,HUN,2003,88.86374
Hungary,HUN,2004,87.58509
Hungary,HUN,2005,85.73687
Hungary,HUN,2006,86.23867
Hungary,HUN,2007,84.55086
Hungary,HUN,2008,83.25225
Hungary,HUN,2009,80.81731
Hungary,HUN,2010,80.809135
Hungary,HUN,2011,80.83587
Hungary,HUN,2012,79.55321
Hungary,HUN,2013,78.89987
Hungary,HUN,2014,77.99967
Hungary,HUN,2015,79.00212
Hungary,HUN,2016,79.182625
Hungary,HUN,2017,80.167114
Hungary,HUN,2018,80.31348
Hungary,HUN,2019,79.215836
Hungary,HUN,2020,78.018036
Iceland,ISL,2007,25.698313
India,IND,2000,92.40086
India,IND,2001,92.553955
India,IND,2002,93.07038
India,IND,2003,93.29551
India,IND,2004,91.371346
India,IND,2005,92.21166
India,IND,2006,91.46855
India,IND,2007,91.40051
India,IND,2008,92.1702
India,IND,2009,92.895096
India,IND,2010,92.565605
India,IND,2011,91.279564
India,IND,2012,92.05308
India,IND,2013,91.45889
India,IND,2014,91.48721
India,IND,2015,91.612495
India,IND,2016,91.85142
India,IND,2017,91.40318
India,IND,2018,90.95488
India,IND,2019,89.86963
India,IND,2020,88.98722
Indonesia,IDN,2000,96.266174
Indonesia,IDN,2001,95.887405
Indonesia,IDN,2002,96.3697
Indonesia,IDN,2003,96.8375
Indonesia,IDN,2004,96.63384
Indonesia,IDN,2005,96.5458
Indonesia,IDN,2006,96.82977
Indonesia,IDN,2007,96.68592
Indonesia,IDN,2008,96.47528
Indonesia,IDN,2009,96.3947
Indonesia,IDN,2010,95.65248
Indonesia,IDN,2011,96.56887
Indonesia,IDN,2012,96.47366
Indonesia,IDN,2013,95.53205
Indonesia,IDN,2014,95.3919
Indonesia,IDN,2015,96.09558
Indonesia,IDN,2016,94.36833
Indonesia,IDN,2017,94.5289
Indonesia,IDN,2018,92.21321
Indonesia,IDN,2019,91.72035
Indonesia,IDN,2020,89.78218
Iran,IRN,2000,99.1917
Iran,IRN,2001,99.18181
Iran,IRN,2002,98.556656
Iran,IRN,2003,98.31623
Iran,IRN,2004,98.11567
Iran,IRN,2005,97.85736
Iran,IRN,2006,97.49926
Iran,IRN,2007,97.72937
Iran,IRN,2008,99.07669
Iran,IRN,2009,99.184074
Iran,IRN,2010,98.80862
Iran,IRN,2011,98.796684
Iran,IRN,2012,98.473526
Iran,IRN,2013,98.05258
Iran,IRN,2014,98.17386
Iran,IRN,2015,98.34948
Iran,IRN,2016,97.97498
Iran,IRN,2017,97.837296
Iran,IRN,2018,98.50905
Iran,IRN,2019,96.66769
Iran,IRN,2020,97.59564
Iraq,IRQ,2017,98.952484
Iraq,IRQ,2018,99.01686
Iraq,IRQ,2019,97.79961
Ireland,IRL,2000,97.96563
Ireland,IRL,2001,98.33921
Ireland,IRL,2002,97.764984
Ireland,IRL,2003,98.11951
Ireland,IRL,2004,97.753815
Ireland,IRL,2005,97.121376
Ireland,IRL,2006,96.34426
Ireland,IRL,2007,95.84555
Ireland,IRL,2008,94.51094
Ireland,IRL,2009,92.94484
Ireland,IRL,2010,93.53165
Ireland,IRL,2011,90.49959
Ireland,IRL,2012,90.691635
Ireland,IRL,2013,89.86202
Ireland,IRL,2014,88.5217
Ireland,IRL,2015,86.8787
Ireland,IRL,2016,88.017426
Ireland,IRL,2017,85.80804
Ireland,IRL,2018,84.32087
Ireland,IRL,2019,81.99039
Ireland,IRL,2020,78.48113
Israel,ISR,2000,99.95969
Israel,ISR,2001,99.97414
Israel,ISR,2002,99.909134
Israel,ISR,2003,99.89759
Israel,ISR,2004,99.903275
Israel,ISR,2005,99.88004
Israel,ISR,2006,99.93052
Israel,ISR,2007,99.9385
Israel,ISR,2008,99.92946
Israel,ISR,2009,99.84628
Israel,ISR,2010,99.76982
Israel,ISR,2011,99.63143
Israel,ISR,2012,99.4737
Israel,ISR,2013,99.384155
Israel,ISR,2014,98.94547
Israel,ISR,2015,98.64645
Israel,ISR,2016,98.15408
Israel,ISR,2017,98.15282
Israel,ISR,2018,98.006256
Israel,ISR,2019,96.92944
Israel,ISR,2020,95.74857
Italy,ITA,2000,92.84436
Italy,ITA,2001,92.391495
Italy,ITA,2002,93.22162
Italy,ITA,2003,93.66092
Italy,ITA,2004,92.77965
Italy,ITA,2005,93.56646
Italy,ITA,2006,93.27001
Italy,ITA,2007,93.56803
Italy,ITA,2008,91.80468
Italy,ITA,2009,89.4145
Italy,ITA,2010,88.56919
Italy,ITA,2011,87.55695
Italy,ITA,2012,85.83427
Italy,ITA,2013,82.389305
Italy,ITA,2014,80.26024
Italy,ITA,2015,82.48963
Italy,ITA,2016,82.768234
Italy,ITA,2017,83.62919
Italy,ITA,2018,82.2725
Italy,ITA,2019,82.135025
Italy,ITA,2020,79.96527
Japan,JPN,2000,80.700424
Japan,JPN,2001,80.677124
Japan,JPN,2002,81.0017
Japan,JPN,2003,84.27218
Japan,JPN,2004,82.093475
Japan,JPN,2005,82.6018
Japan,JPN,2006,81.649826
Japan,JPN,2007,83.241554
Japan,JPN,2008,84.21207
Japan,JPN,2009,81.948006
Japan,JPN,2010,81.33717
Japan,JPN,2011,86.69507
Japan,JPN,2012,93.5321
Japan,JPN,2013,93.20892
Japan,JPN,2014,93.0815
Japan,JPN,2015,91.74431
Japan,JPN,2016,91.18033
Japan,JPN,2017,90.20065
Japan,JPN,2018,88.60017
Japan,JPN,2019,87.526436
Japan,JPN,2020,86.825645
Kazakhstan,KAZ,2000,93.97718
Kazakhstan,KAZ,2001,94.29574
Kazakhstan,KAZ,2002,93.879585
Kazakhstan,KAZ,2003,94.61745
Kazakhstan,KAZ,2004,95.26795
Kazakhstan,KAZ,2005,95.54226
Kazakhstan,KAZ,2006,95.93234
Kazakhstan,KAZ,2007,96.1675
Kazakhstan,KAZ,2008,96.701065
Kazakhstan,KAZ,2009,96.623695
Kazakhstan,KAZ,2010,96.35702
Kazakhstan,KAZ,2011,96.86639
Kazakhstan,KAZ,2012,97.12981
Kazakhstan,KAZ,2013,97.1181
Kazakhstan,KAZ,2014,97.08441
Kazakhstan,KAZ,2015,95.99908
Kazakhstan,KAZ,2016,95.489
Kazakhstan,KAZ,2017,95.94848
Kazakhstan,KAZ,2018,96.343895
Kazakhstan,KAZ,2019,96.33734
Kazakhstan,KAZ,2020,95.741295
Latvia,LVA,2000,77.88182
Latvia,LVA,2001,79.48787
Latvia,LVA,2002,82.31203
Latvia,LVA,2003,83.24853
Latvia,LVA,2004,79.75758
Latvia,LVA,2005,79.08076
Latvia,LVA,2006,82.08378
Latvia,LVA,2007,82.51023
Latvia,LVA,2008,80.39987
Latvia,LVA,2009,77.19801
Latvia,LVA,2010,79.00273
Latvia,LVA,2011,80.08771
Latvia,LVA,2012,74.73963
Latvia,LVA,2013,77.139015
Latvia,LVA,2014,80.14188
Latvia,LVA,2015,80.43797
Latvia,LVA,2016,77.764496
Latvia,LVA,2017,69.05775
Latvia,LVA,2018,76.557236
Latvia,LVA,2019,79.15531
Latvia,LVA,2020,73.974106
Lithuania,LTU,2000,68.289444
Lithuania,LTU,2001,63.482265
Lithuania,LTU,2002,58.506298
Lithuania,LTU,2003,56.904854
Lithuania,LTU,2004,58.39673
Lithuania,LTU,2005,68.45271
Lithuania,LTU,2006,72.02574
Lithuania,LTU,2007,70.775444
Lithuania,LTU,2008,70.2435
Lithuania,LTU,2009,64.86298
Lithuania,LTU,2010,95.302376
Lithuania,LTU,2011,94.67448
Lithuania,LTU,2012,94.10736
Lithuania,LTU,2013,92.1228
Lithuania,LTU,2014,91.799286
Lithuania,LTU,2015,91.3647
Lithuania,LTU,2016,90.11571
Lithuania,LTU,2017,88.64151
Lithuania,LTU,2018,90.0853
Lithuania,LTU,2019,89.12416
Lithuania,LTU,2020,88.20078
Luxembourg,LUX,2000,98.62963
Luxembourg,LUX,2001,98.74777
Luxembourg,LUX,2002,98.96986
Luxembourg,LUX,2003,99.08259
Luxembourg,LUX,2004,98.88796
Luxembourg,LUX,2005,98.83208
Luxembourg,LUX,2006,98.60913
Luxembourg,LUX,2007,97.44185
Luxembourg,LUX,2008,97.334885
Luxembourg,LUX,2009,97.36952
Luxembourg,LUX,2010,97.49977
Luxembourg,LUX,2011,97.44558
Luxembourg,LUX,2012,97.013794
Luxembourg,LUX,2013,96.33756
Luxembourg,LUX,2014,95.6407
Luxembourg,LUX,2015,94.96955
Luxembourg,LUX,2016,94.565704
Luxembourg,LUX,2017,93.303604
Luxembourg,LUX,2018,92.85875
Luxembourg,LUX,2019,92.08269
Luxembourg,LUX,2020,89.13071
Malaysia,MYS,2000,96.318474
Malaysia,MYS,2001,96.85957
Malaysia,MYS,2002,97.40639
Malaysia,MYS,2003,97.746826
Malaysia,MYS,2004,97.68036
Malaysia,MYS,2005,97.71376
Malaysia,MYS,2006,97.62332
Malaysia,MYS,2007,97.819115
Malaysia,MYS,2008,97.32208
Malaysia,MYS,2009,97.371
Malaysia,MYS,2010,97.66998
Malaysia,MYS,2011,97.112236
Malaysia,MYS,2012,96.965065
Malaysia,MYS,2013,96.48043
Malaysia,MYS,2014,96.120384
Malaysia,MYS,2015,95.94908
Malaysia,MYS,2016,94.763985
Malaysia,MYS,2017,93.33853
Malaysia,MYS,2018,93.32817
Malaysia,MYS,2019,93.2256
Malaysia,MYS,2020,92.45798
Netherlands,NLD,2000,97.9696
Netherlands,NLD,2001,97.94051
Netherlands,NLD,2002,97.76577
Netherlands,NLD,2003,97.774666
Netherlands,NLD,2004,97.526146
Netherlands,NLD,2005,96.93441
Netherlands,NLD,2006,96.81549
Netherlands,NLD,2007,96.55353
Netherlands,NLD,2008,96.05959
Netherlands,NLD,2009,95.514854
Netherlands,NLD,2010,95.96056
Netherlands,NLD,2011,95.35454
Netherlands,NLD,2012,95.27058
Netherlands,NLD,2013,95.54739
Netherlands,NLD,2014,95.16666
Netherlands,NLD,2015,94.77777
Netherlands,NLD,2016,94.70821
Netherlands,NLD,2017,94.16556
Netherlands,NLD,2018,93.393394
Netherlands,NLD,2019,92.04589
Netherlands,NLD,2020,88.83829
North Macedonia,MKD,2000,88.78466
North Macedonia,MKD,2001,93.663795
North Macedonia,MKD,2002,92.20931
North Macedonia,MKD,2003,87.53809
North Macedonia,MKD,2004,86.47561
North Macedonia,MKD,2005,86.88865
North Macedonia,MKD,2006,85.85191
North Macedonia,MKD,2007,91.313675
North Macedonia,MKD,2008,92.530106
North Macedonia,MKD,2009,88.53954
North Macedonia,MKD,2010,80.08004
North Macedonia,MKD,2011,88.28159
North Macedonia,MKD,2012,90.86331
North Macedonia,MKD,2013,85.5508
North Macedonia,MKD,2014,87.47309
North Macedonia,MKD,2015,81.41833
North Macedonia,MKD,2016,81.849304
North Macedonia,MKD,2017,88.183334
North Macedonia,MKD,2018,82.808044
North Macedonia,MKD,2019,88.492485
North Macedonia,MKD,2020,85.89511
Norway,NOR,2000,27.932936
Norway,NOR,2001,31.658081
Norway,NOR,2002,30.323559
Norway,NOR,2003,35.905556
Norway,NOR,2004,35.177883
Norway,NOR,2005,29.945465
Norway,NOR,2006,32.93866
Norway,NOR,2007,31.008413
Norway,NOR,2008,29.595709
Norway,NOR,2009,31.338415
Norway,NOR,2010,34.096127
Norway,NOR,2011,33.032055
Norway,NOR,2012,29.618628
Norway,NOR,2013,31.852072
Norway,NOR,2014,30.86383
Norway,NOR,2015,31.112173
Norway,NOR,2016,29.741753
Norway,NOR,2017,29.919252
Norway,NOR,2018,30.676144
Norway,NOR,2019,32.0098
Norway,NOR,2020,27.923098
Pakistan,PAK,2000,88.101105
Pakistan,PAK,2001,87.39733
Pakistan,PAK,2002,86.77849
Pakistan,PAK,2003,85.71954
Pakistan,PAK,2004,86.25185
Pakistan,PAK,2005,85.32382
Pakistan,PAK,2006,86.35141
Pakistan,PAK,2007,86.76642
Pakistan,PAK,2008,88.79949
Pakistan,PAK,2009,88.18847
Pakistan,PAK,2010,87.91141
Pakistan,PAK,2011,87.17931
Pakistan,PAK,2012,94.6436
Pakistan,PAK,2013,86.99446
Pakistan,PAK,2014,86.93901
Pakistan,PAK,2015,87.461815
Pakistan,PAK,2016,79.433556
Pakistan,PAK,2017,88.20528
Pakistan,PAK,2018,88.242455
Pakistan,PAK,2019,86.707726
Pakistan,PAK,2020,85.65828
Philippines,PHL,2000,81.78484
Philippines,PHL,2001,83.2785
Philippines,PHL,2002,83.718605
Philippines,PHL,2003,83.917465
Philippines,PHL,2004,83.33863
Philippines,PHL,2005,83.93731
Philippines,PHL,2006,81.319725
Philippines,PHL,2007,83.37777
Philippines,PHL,2008,82.369385
Philippines,PHL,2009,82.81059
Philippines,PHL,2010,85.13273
Philippines,PHL,2011,83.86643
Philippines,PHL,2012,83.59398
Philippines,PHL,2013,85.17532
Philippines,PHL,2014,85.97421
Philippines,PHL,2015,86.455124
Philippines,PHL,2016,86.967285
Philippines,PHL,2017,87.45596
Philippines,PHL,2018,87.81421
Philippines,PHL,2019,88.74719
Philippines,PHL,2020,88.00567
Portugal,PRT,2000,86.95808
Portugal,PRT,2001,84.4114
Portugal,PRT,2002,90.29956
Portugal,PRT,2003,83.044235
Portugal,PRT,2004,87.96008
Portugal,PRT,2005,91.91991
Portugal,PRT,2006,84.484634
Portugal,PRT,2007,83.879265
Portugal,PRT,2008,84.78725
Portugal,PRT,2009,81.085686
Portugal,PRT,2010,72.51823
Portugal,PRT,2011,75.38682
Portugal,PRT,2012,78.19644
Portugal,PRT,2013,70.68077
Portugal,PRT,2014,69.09433
Portugal,PRT,2015,75.39335
Portugal,PRT,2016,70.60175
Portugal,PRT,2017,78.5582
Portugal,PRT,2018,73.13147
Portugal,PRT,2019,73.63326
Portugal,PRT,2020,68.26026
Romania,ROU,2000,85.92068
Romania,ROU,2001,86.07559
Romania,ROU,2002,85.88588
Romania,ROU,2003,88.18899
Romania,ROU,2004,86.24659
Romania,ROU,2005,84.11469
Romania,ROU,2006,85.53844
Romania,ROU,2007,85.22049
Romania,ROU,2008,82.379555
Romania,ROU,2009,80.76941
Romania,ROU,2010,77.63057
Romania,ROU,2011,80.81208
Romania,ROU,2012,81.38676
Romania,ROU,2013,76.52711
Romania,ROU,2014,73.62428
Romania,ROU,2015,73.04438
Romania,ROU,2016,72.62284
Romania,ROU,2017,74.87222
Romania,ROU,2018,74.02493
Romania,ROU,2019,74.453316
Romania,ROU,2020,73.244965
Russia,RUS,2000,88.129974
Russia,RUS,2001,87.75632
Russia,RUS,2002,88.07203
Russia,RUS,2003,88.30745
Russia,RUS,2004,87.92044
Russia,RUS,2005,87.92401
Russia,RUS,2006,88.240036
Russia,RUS,2007,88.11611
Russia,RUS,2008,88.57627
Russia,RUS,2009,87.686714
Russia,RUS,2010,88.25941
Russia,RUS,2011,88.7491
Russia,RUS,2012,88.72253
Russia,RUS,2013,88.22045
Russia,RUS,2014,88.311874
Russia,RUS,2015,87.893745
Russia,RUS,2016,87.60211
Russia,RUS,2017,87.517914
Russia,RUS,2018,87.8026
Russia,RUS,2019,87.48609
Russia,RUS,2020,86.20928
Saudi Arabia,SAU,2000,100
Saudi Arabia,SAU,2001,100
Saudi Arabia,SAU,2002,100
Saudi Arabia,SAU,2003,100
Saudi Arabia,SAU,2004,100
Saudi Arabia,SAU,2005,100
Saudi Arabia,SAU,2006,100
Saudi Arabia,SAU,2007,100
Saudi Arabia,SAU,2008,99.99992
Saudi Arabia,SAU,2009,99.99992
Saudi Arabia,SAU,2010,99.99954
Saudi Arabia,SAU,2011,99.99941
Saudi Arabia,SAU,2012,99.997406
Saudi Arabia,SAU,2013,99.995766
Saudi Arabia,SAU,2014,99.995766
Saudi Arabia,SAU,2015,99.99596
Saudi Arabia,SAU,2016,99.99614
Saudi Arabia,SAU,2017,99.994156
Saudi Arabia,SAU,2018,99.98598
Saudi Arabia,SAU,2019,99.981125
Saudi Arabia,SAU,2020,99.98062
Slovakia,SVK,2000,72.30275
Slovakia,SVK,2001,71.71328
Slovakia,SVK,2002,70.773315
Slovakia,SVK,2003,72.64482
Slovakia,SVK,2004,72.56975
Slovakia,SVK,2005,72.5008
Slovakia,SVK,2006,71.180984
Slovakia,SVK,2007,72.69542
Slovakia,SVK,2008,72.24426
Slovakia,SVK,2009,72.62692
Slovakia,SVK,2010,72.40864
Slovakia,SVK,2011,71.53281
Slovakia,SVK,2012,69.827385
Slovakia,SVK,2013,69.145996
Slovakia,SVK,2014,67.18653
Slovakia,SVK,2015,68.32088
Slovakia,SVK,2016,68.48108
Slovakia,SVK,2017,69.939735
Slovakia,SVK,2018,70.92347
Slovakia,SVK,2019,68.146545
Slovakia,SVK,2020,67.06465
Slovenia,SVN,2000,68.04934
